,ppt,Date
667,0.0,2004-10-30
668,1.475000023841858,2004-10-31
669,0.0,2004-11-01
670,0.0,2004-11-02
671,1.315000057220459,2004-11-03
672,0.5889999866485596,2004-11-04
673,0.0,2004-11-05
674,0.0,2004-11-06
675,0.0,2004-11-07
676,0.0,2004-11-08
677,0.0,2004-11-09
678,17.940000534057617,2004-11-10
679,4.364999771118164,2004-11-11
680,1.684000015258789,2004-11-12
681,0.8059999942779541,2004-11-13
682,0.0,2004-11-14
683,0.0,2004-11-15
684,0.0,2004-11-16
685,0.0,2004-11-17
686,0.0,2004-11-18
687,0.0,2004-11-19
688,0.0,2004-11-20
689,0.0,2004-11-21
690,0.0,2004-11-22
691,0.0,2004-11-23
692,0.0,2004-11-24
693,0.0,2004-11-25
694,12.937000274658203,2004-11-26
695,8.902000427246094,2004-11-27
696,1.955000042915344,2004-11-28
697,0.0,2004-11-29
698,0.0,2004-11-30
699,0.0,2004-12-01
700,0.0,2004-12-02
701,0.0,2004-12-03
702,0.0,2004-12-04
703,0.0,2004-12-05
704,0.0,2004-12-06
705,63.27999877929688,2004-12-07
706,83.31199645996094,2004-12-08
707,75.64700317382812,2004-12-09
708,3.9149999618530273,2004-12-10
709,0.0,2004-12-11
710,0.0,2004-12-12
711,3.263000011444092,2004-12-13
712,6.354000091552734,2004-12-14
713,0.4110000133514404,2004-12-15
714,0.0,2004-12-16
715,0.0,2004-12-17
716,0.0,2004-12-18
717,0.0,2004-12-19
718,0.0,2004-12-20
719,0.0,2004-12-21
720,0.0,2004-12-22
721,0.0,2004-12-23
722,0.0,2004-12-24
723,0.0,2004-12-25
724,21.55699920654297,2004-12-26
725,40.84400177001953,2004-12-27
726,27.13800048828125,2004-12-28
727,27.4379997253418,2004-12-29
728,26.12800025939941,2004-12-30
729,27.506999969482425,2004-12-31
730,42.89599990844727,2005-01-01
731,17.4689998626709,2005-01-02
732,21.51799964904785,2005-01-03
733,1.3389999866485596,2005-01-04
734,0.4440000057220459,2005-01-05
735,1.955000042915344,2005-01-06
736,7.0329999923706055,2005-01-07
737,42.97200012207031,2005-01-08
738,35.9640007019043,2005-01-09
739,16.136999130249023,2005-01-10
740,17.003000259399414,2005-01-11
741,8.907999992370605,2005-01-12
742,0.0,2005-01-13
743,0.0,2005-01-14
744,0.0,2005-01-15
745,0.5569999814033508,2005-01-16
746,0.1790000051259994,2005-01-17
747,0.0,2005-01-18
748,0.0,2005-01-19
749,0.0,2005-01-20
750,0.0,2005-01-21
751,0.0,2005-01-22
752,0.0,2005-01-23
753,0.0,2005-01-24
754,0.0,2005-01-25
755,23.718000411987305,2005-01-26
756,13.298999786376951,2005-01-27
757,53.57600021362305,2005-01-28
758,15.210000038146973,2005-01-29
759,27.42099952697754,2005-01-30
760,0.0,2005-01-31
761,7.747000217437744,2005-02-01
762,0.0,2005-02-02
763,0.0,2005-02-03
764,2.2950000762939453,2005-02-04
765,0.0,2005-02-05
766,0.0,2005-02-06
767,2.5199999809265137,2005-02-07
768,0.6740000247955322,2005-02-08
769,0.0,2005-02-09
770,0.0,2005-02-10
771,0.0,2005-02-11
772,0.0,2005-02-12
773,10.673999786376951,2005-02-13
774,43.27399826049805,2005-02-14
775,0.1260000020265579,2005-02-15
776,0.996999979019165,2005-02-16
777,9.503999710083008,2005-02-17
778,1.3580000400543213,2005-02-18
779,11.550999641418455,2005-02-19
780,20.493000030517575,2005-02-20
781,7.320000171661377,2005-02-21
782,0.5590000152587891,2005-02-22
783,0.0,2005-02-23
784,0.0,2005-02-24
785,0.0,2005-02-25
786,0.0,2005-02-26
787,5.427999973297119,2005-02-27
788,22.437000274658203,2005-02-28
789,23.98699951171875,2005-03-01
790,35.547000885009766,2005-03-02
791,6.15500020980835,2005-03-03
792,7.301000118255615,2005-03-04
793,0.0,2005-03-05
794,0.0,2005-03-06
795,0.0,2005-03-07
796,0.0,2005-03-08
797,0.0,2005-03-09
798,0.0,2005-03-10
799,0.0,2005-03-11
800,0.0,2005-03-12
801,0.0,2005-03-13
802,0.0,2005-03-14
803,0.0,2005-03-15
804,0.0,2005-03-16
805,0.0,2005-03-17
806,0.0,2005-03-18
807,52.02099990844727,2005-03-19
808,29.63800048828125,2005-03-20
809,66.3270034790039,2005-03-21
810,23.36899948120117,2005-03-22
811,28.226999282836918,2005-03-23
812,2.059999942779541,2005-03-24
813,0.0,2005-03-25
814,0.0,2005-03-26
815,2.101999998092652,2005-03-27
816,58.72100067138672,2005-03-28
817,20.089000701904297,2005-03-29
818,2.8949999809265137,2005-03-30
819,0.0,2005-03-31
820,0.0,2005-04-01
821,0.0,2005-04-02
822,0.6700000166893005,2005-04-03
823,25.86400032043457,2005-04-04
824,0.0,2005-04-05
825,0.0,2005-04-06
826,14.335000038146973,2005-04-07
827,22.207000732421875,2005-04-08
828,16.472000122070312,2005-04-09
829,0.0,2005-04-10
830,0.0820000022649765,2005-04-11
831,0.0,2005-04-12
832,3.4600000381469727,2005-04-13
833,5.196000099182129,2005-04-14
834,0.0,2005-04-15
835,0.0,2005-04-16
836,0.0,2005-04-17
837,0.0,2005-04-18
838,0.0,2005-04-19
839,0.0,2005-04-20
840,0.0,2005-04-21
841,0.0,2005-04-22
842,2.351999998092652,2005-04-23
843,2.4140000343322754,2005-04-24
844,0.0,2005-04-25
845,0.0,2005-04-26
846,0.0,2005-04-27
847,1.89300000667572,2005-04-28
848,0.6589999794960022,2005-04-29
849,0.0,2005-04-30
850,0.0,2005-05-01
851,0.0,2005-05-02
852,0.0,2005-05-03
853,0.4620000123977661,2005-05-04
854,22.141000747680664,2005-05-05
855,14.119999885559082,2005-05-06
856,14.178000450134276,2005-05-07
857,45.65900039672852,2005-05-08
858,35.54600143432617,2005-05-09
859,14.272000312805176,2005-05-10
860,0.0,2005-05-11
861,15.086999893188477,2005-05-12
862,0.0,2005-05-13
863,0.0,2005-05-14
864,2.390000104904175,2005-05-15
865,10.946000099182127,2005-05-16
866,18.827999114990234,2005-05-17
867,64.302001953125,2005-05-18
868,51.928001403808594,2005-05-19
869,1.2000000476837158,2005-05-20
870,0.0,2005-05-21
871,0.0,2005-05-22
872,0.0,2005-05-23
873,0.0,2005-05-24
874,0.0,2005-05-25
875,0.0,2005-05-26
876,0.0,2005-05-27
877,0.0,2005-05-28
878,0.0,2005-05-29
879,0.0,2005-05-30
880,0.0,2005-05-31
881,0.0,2005-06-01
882,0.0,2005-06-02
883,0.0,2005-06-03
884,0.0,2005-06-04
885,0.0,2005-06-05
886,0.0,2005-06-06
887,3.058000087738037,2005-06-07
